1470155491298: 	acted on	sample
1470155494139: 	acted on	sample
1470155497014: 	acted on	sample
1470155502708: 	acted on	sample
1470155503656: 	acted on	innerText
1470155503731: 	sub-instrument	start	shapes	true
1470155503733: 	activate	shapes
1470155504083: 	acted on	sample
1470155508123: 	acted on	sample
1470155509313: 	acted on	sub-instrument-container
1470155509930: 	acted on	rectangle
1470155510040: 	sub-instrument	rectangle	shapes	true
1470155510751: 	shape started	{"x":109,"y":160}
1470155510754: 	shape continued	10	rectangle
1470155510790: 	shape continued	14	rectangle
1470155510796: 	shape continued	17	rectangle
1470155510805: 	shape continued	22	rectangle
1470155510813: 	shape continued	27	rectangle
1470155510821: 	shape continued	31	rectangle
1470155510829: 	shape continued	35	rectangle
1470155510840: 	shape continued	40	rectangle
1470155510846: 	shape continued	45	rectangle
1470155510854: 	shape continued	50	rectangle
1470155510864: 	shape continued	55	rectangle
1470155510871: 	shape continued	60	rectangle
1470155510879: 	shape continued	65	rectangle
1470155510888: 	shape continued	70	rectangle
1470155510896: 	shape continued	74	rectangle
1470155510904: 	shape continued	80	rectangle
1470155510914: 	shape continued	85	rectangle
1470155510921: 	shape continued	90	rectangle
1470155510929: 	shape continued	94	rectangle
1470155510939: 	shape continued	99	rectangle
1470155510948: 	shape continued	104	rectangle
1470155510955: 	shape continued	108	rectangle
1470155510964: 	shape continued	113	rectangle
1470155510977: 	shape continued	118	rectangle
1470155510982: 	shape continued	122	rectangle
1470155510991: 	shape continued	127	rectangle
1470155510996: 	shape continued	131	rectangle
1470155511007: 	shape continued	135	rectangle
1470155511013: 	shape continued	140	rectangle
1470155511021: 	shape continued	144	rectangle
1470155511029: 	shape continued	148	rectangle
1470155511039: 	shape continued	152	rectangle
1470155511046: 	shape continued	156	rectangle
1470155511055: 	shape continued	160	rectangle
1470155511063: 	shape continued	163	rectangle
1470155511071: 	shape continued	166	rectangle
1470155511079: 	shape continued	168	rectangle
1470155511089: 	shape continued	172	rectangle
1470155511096: 	shape continued	175	rectangle
1470155511104: 	shape continued	177	rectangle
1470155511113: 	shape continued	180	rectangle
1470155511121: 	shape continued	182	rectangle
1470155511130: 	shape continued	184	rectangle
1470155511138: 	shape continued	186	rectangle
1470155511146: 	shape continued	187	rectangle
1470155511154: 	shape continued	190	rectangle
1470155511164: 	shape continued	191	rectangle
1470155511172: 	shape continued	192	rectangle
1470155511180: 	shape continued	193	rectangle
1470155511188: 	shape continued	194	rectangle
1470155511197: 	shape continued	194	rectangle
1470155511214: 	shape continued	195	rectangle
1470155511230: 	shape continued	195	rectangle
1470155511322: 	shape continued	194	rectangle
1470155511397: 	shape continued	194	rectangle
1470155511413: 	shape continued	193	rectangle
1470155511522: 	shape continued	193	rectangle
1470155511655: 	shape continued	194	rectangle
1470155511673: 	shape continued	194	rectangle
1470155511739: 	shape continued	194	rectangle
1470155511746: 	shape continued	195	rectangle
1470155511754: 	shape continued	196	rectangle
1470155511772: 	shape continued	197	rectangle
1470155511778: 	shape continued	201	rectangle
1470155511781: 	shape continued	203	rectangle
1470155511789: 	shape continued	205	rectangle
1470155511797: 	shape continued	206	rectangle
1470155511804: 	shape continued	208	rectangle
1470155511813: 	shape continued	210	rectangle
1470155511821: 	shape continued	211	rectangle
1470155511829: 	shape continued	212	rectangle
1470155511839: 	shape continued	212	rectangle
1470155511847: 	shape continued	213	rectangle
1470155511854: 	shape continued	214	rectangle
1470155511864: 	shape continued	215	rectangle
1470155511882: 	shape continued	216	rectangle
1470155511897: 	shape continued	216	rectangle
1470155511914: 	shape continued	217	rectangle
1470155511929: 	shape continued	217	rectangle
1470155511972: 	shape continued	218	rectangle
1470155511989: 	shape continued	218	rectangle
1470155512014: 	shape continued	219	rectangle
1470155512029: 	shape continued	220	rectangle
1470155512046: 	shape continued	221	rectangle
1470155512063: 	shape continued	222	rectangle
1470155512072: 	shape continued	223	rectangle
1470155512097: 	shape continued	224	rectangle
1470155512122: 	shape continued	225	rectangle
1470155512148: 	shape continued	225	rectangle
1470155512205: 	shape continued	226	rectangle
1470155512221: 	shape continued	226	rectangle
1470155512247: 	shape continued	227	rectangle
1470155512254: 	shape continued	227	rectangle
1470155512263: 	shape continued	229	rectangle
1470155512271: 	shape continued	232	rectangle
1470155512280: 	shape continued	233	rectangle
1470155512288: 	shape continued	235	rectangle
1470155512296: 	shape continued	236	rectangle
1470155512305: 	shape continued	238	rectangle
1470155512314: 	shape continued	240	rectangle
1470155512321: 	shape continued	242	rectangle
1470155512330: 	shape continued	244	rectangle
1470155512338: 	shape continued	246	rectangle
1470155512346: 	shape continued	248	rectangle
1470155512355: 	shape continued	251	rectangle
1470155512363: 	shape continued	253	rectangle
1470155512372: 	shape continued	255	rectangle
1470155512380: 	shape continued	257	rectangle
1470155512388: 	shape continued	260	rectangle
1470155512396: 	shape continued	262	rectangle
1470155512405: 	shape continued	264	rectangle
1470155512413: 	shape continued	266	rectangle
1470155512421: 	shape continued	269	rectangle
1470155512430: 	shape continued	272	rectangle
1470155512438: 	shape continued	274	rectangle
1470155512446: 	shape continued	277	rectangle
1470155512454: 	shape continued	279	rectangle
1470155512463: 	shape continued	282	rectangle
1470155512471: 	shape continued	284	rectangle
1470155512480: 	shape continued	288	rectangle
1470155512487: 	shape continued	291	rectangle
