1470156716282: 	acted on	innerText
1470156716381: 	sub-instrument	start	shapes	true
1470156716393: 	activate	shapes
1470156721716: 	acted on	innerText
1470156721773: 	sub-instrument	stop	shapes	false
1470156721785: 	deactivate	shapes
1470156760053: 	acted on	sample
1470156760833: 	acted on	sample
1470156761770: 	acted on	innerText
1470156761836: 	sub-instrument	start	shapes	true
1470156761847: 	activate	shapes
1470156764193: 	acted on	circle
1470156764267: 	sub-instrument	circle	shapes	true
1470156768156: 	shape started	{"x":122,"y":88}
1470156768160: 	shape continued	10	circle
1470156768211: 	shape continued	14	circle
1470156768219: 	shape continued	17	circle
1470156768227: 	shape continued	20	circle
1470156768235: 	shape continued	21	circle
1470156768245: 	shape continued	23	circle
1470156768252: 	shape continued	25	circle
1470156768259: 	shape continued	26	circle
1470156768269: 	shape continued	28	circle
1470156768277: 	shape continued	29	circle
1470156768286: 	shape continued	31	circle
1470156768293: 	shape continued	33	circle
1470156768302: 	shape continued	34	circle
1470156768310: 	shape continued	36	circle
1470156768319: 	shape continued	37	circle
1470156768327: 	shape continued	38	circle
1470156768334: 	shape continued	39	circle
1470156768353: 	shape continued	40	circle
1470156768362: 	shape continued	41	circle
1470156768369: 	shape continued	42	circle
1470156768377: 	shape continued	43	circle
1470156768385: 	shape continued	44	circle
1470156768394: 	shape continued	45	circle
1470156768401: 	shape continued	46	circle
1470156768410: 	shape continued	47	circle
1470156768418: 	shape continued	48	circle
1470156768435: 	shape continued	49	circle
1470156768444: 	shape continued	50	circle
1470156768452: 	shape continued	50	circle
1470156768459: 	shape continued	51	circle
1470156768468: 	shape continued	52	circle
1470156768476: 	shape continued	53	circle
1470156768486: 	shape continued	54	circle
1470156768493: 	shape continued	55	circle
1470156768502: 	shape continued	56	circle
1470156768510: 	shape continued	57	circle
1470156768519: 	shape continued	58	circle
1470156768526: 	shape continued	60	circle
1470156768535: 	shape continued	60	circle
1470156768543: 	shape continued	61	circle
1470156768551: 	shape continued	63	circle
1470156768559: 	shape continued	64	circle
1470156768568: 	shape continued	65	circle
1470156768576: 	shape continued	66	circle
1470156768584: 	shape continued	67	circle
1470156768594: 	shape continued	68	circle
1470156768602: 	shape continued	70	circle
1470156768610: 	shape continued	71	circle
1470156768627: 	shape continued	73	circle
1470156768644: 	shape continued	74	circle
1470156768652: 	shape continued	75	circle
1470156768660: 	shape continued	76	circle
1470156768669: 	shape continued	76	circle
1470156768676: 	shape continued	77	circle
1470156768684: 	shape continued	77	circle
1470156768693: 	shape continued	78	circle
1470156768702: 	shape continued	79	circle
1470156768710: 	shape continued	80	circle
1470156768718: 	shape continued	81	circle
1470156768726: 	shape continued	82	circle
1470156768734: 	shape continued	83	circle
1470156768744: 	shape continued	84	circle
1470156768752: 	shape continued	85	circle
1470156768760: 	shape continued	86	circle
1470156768768: 	shape continued	87	circle
1470156768777: 	shape continued	88	circle
