1470212382010: 	acted on	draw
1470212391782: 	acted on	sample
1470212395865: 	acted on	innerText
1470212395984: 	sub-instrument	start	draw	true
1470212396007: 	activate	draw
1470212399404: 	acted on	innerText
1470212399467: 	sub-instrument	stop	draw	false
1470212399478: 	deactivate	draw
1470212403805: 	acted on	sample
1470212407145: 	acted on	innerText
1470212407243: 	sub-instrument	start	draw	true
1470212407252: 	activate	draw
1470212416154: 	draw	image-50	{"x":77,"y":79}
1470212416389: 	draw	image-50	{"x":70,"y":65}
1470212416398: 	draw	image-50	{"x":69,"y":65}
1470212416405: 	draw	image-50	{"x":69,"y":64}
1470212416431: 	draw	image-50	{"x":68,"y":63}
1470212416440: 	draw	image-50	{"x":68,"y":62}
1470212416448: 	draw	image-50	{"x":67,"y":61}
1470212416464: 	draw	image-50	{"x":67,"y":60}
1470212416481: 	draw	image-50	{"x":66,"y":60}
1470212416489: 	draw	image-50	{"x":66,"y":59}
1470212416497: 	draw	image-50	{"x":65,"y":58}
1470212416524: 	draw	image-50	{"x":65,"y":57}
1470212416530: 	draw	image-50	{"x":64,"y":57}
1470212416539: 	draw	image-50	{"x":64,"y":56}
1470212416556: 	draw	image-50	{"x":63,"y":55}
1470212416581: 	draw	image-50	{"x":63,"y":54}
1470212416587: 	draw	image-50	{"x":62,"y":54}
1470212416598: 	draw	image-50	{"x":62,"y":53}
1470212416614: 	draw	image-50	{"x":61,"y":53}
1470212416622: 	draw	image-50	{"x":61,"y":52}
1470212416637: 	draw	image-50	{"x":61,"y":51}
1470212416656: 	draw	image-50	{"x":60,"y":51}
1470212416664: 	draw	image-50	{"x":60,"y":50}
1470212416681: 	draw	image-50	{"x":59,"y":50}
1470212416688: 	draw	image-50	{"x":59,"y":49}
1470212416731: 	draw	image-50	{"x":58,"y":48}
1470212416773: 	draw	image-50	{"x":58,"y":47}
1470212416791: 	draw	image-50	{"x":57,"y":47}
1470212416823: 	draw	image-50	{"x":57,"y":46}
1470212416856: 	draw	image-50	{"x":56,"y":46}
1470212416890: 	draw	image-50	{"x":56,"y":45}
1470212416915: 	draw	image-50	{"x":55,"y":45}
1470212416948: 	draw	image-50	{"x":55,"y":44}
1470212416981: 	draw	image-50	{"x":54,"y":44}
1470212417048: 	draw	image-50	{"x":54,"y":43}
1470212420301: 	draw	image-50	{"x":77,"y":77}
1470212420541: 	draw	image-50	{"x":64,"y":86}
1470212420557: 	draw	image-50	{"x":63,"y":87}
1470212420565: 	draw	image-50	{"x":62,"y":87}
1470212420573: 	draw	image-50	{"x":62,"y":88}
1470212420581: 	draw	image-50	{"x":61,"y":89}
1470212420591: 	draw	image-50	{"x":60,"y":89}
1470212420598: 	draw	image-50	{"x":60,"y":90}
1470212420606: 	draw	image-50	{"x":59,"y":90}
1470212420615: 	draw	image-50	{"x":58,"y":90}
1470212420623: 	draw	image-50	{"x":57,"y":91}
1470212420639: 	draw	image-50	{"x":56,"y":92}
1470212420655: 	draw	image-50	{"x":55,"y":92}
1470212420664: 	draw	image-50	{"x":54,"y":93}
1470212420690: 	draw	image-50	{"x":53,"y":94}
1470212420698: 	draw	image-50	{"x":52,"y":95}
1470212420732: 	draw	image-50	{"x":51,"y":96}
1470212420749: 	draw	image-50	{"x":50,"y":96}
1470212420766: 	draw	image-50	{"x":50,"y":97}
1470212420773: 	draw	image-50	{"x":49,"y":97}
1470212420791: 	draw	image-50	{"x":49,"y":98}
1470212420798: 	draw	image-50	{"x":48,"y":98}
1470212420816: 	draw	image-50	{"x":48,"y":99}
1470212420823: 	draw	image-50	{"x":47,"y":99}
1470212420841: 	draw	image-50	{"x":46,"y":100}
1470212420866: 	draw	image-50	{"x":45,"y":101}
1470212420884: 	draw	image-50	{"x":44,"y":102}
1470212420891: 	draw	image-50	{"x":44,"y":103}
1470212420898: 	draw	image-50	{"x":43,"y":103}
1470212420916: 	draw	image-50	{"x":43,"y":104}
1470212420924: 	draw	image-50	{"x":42,"y":104}
1470212420939: 	draw	image-50	{"x":42,"y":105}
1470212420973: 	draw	image-50	{"x":41,"y":106}
1470212421033: 	draw	image-50	{"x":41,"y":107}
1470212421048: 	draw	image-50	{"x":40,"y":107}
1470212421115: 	draw	image-50	{"x":40,"y":108}
1470212421123: 	draw	image-50	{"x":39,"y":108}
1470212421166: 	draw	image-50	{"x":39,"y":109}
1470212421190: 	draw	image-50	{"x":38,"y":109}
1470212421232: 	draw	image-50	{"x":38,"y":110}
1470212421274: 	draw	image-50	{"x":37,"y":110}
1470212421308: 	draw	image-50	{"x":37,"y":111}
1470212421373: 	draw	image-50	{"x":36,"y":111}
1470212421391: 	draw	image-50	{"x":36,"y":112}
1470212433052: 	draw	content	{"x":434,"y":393}
1470212433206: 	draw	content	{"x":450,"y":392}
1470212433216: 	draw	content	{"x":452,"y":391}
1470212433223: 	draw	content	{"x":454,"y":392}
1470212433231: 	draw	content	{"x":457,"y":391}
1470212433239: 	draw	content	{"x":459,"y":391}
1470212433247: 	draw	content	{"x":461,"y":391}
1470212433255: 	draw	content	{"x":464,"y":391}
1470212433264: 	draw	content	{"x":466,"y":391}
1470212433272: 	draw	content	{"x":468,"y":391}
1470212433280: 	draw	content	{"x":472,"y":391}
1470212433289: 	draw	content	{"x":475,"y":390}
1470212433296: 	draw	content	{"x":478,"y":390}
1470212433304: 	draw	content	{"x":481,"y":390}
1470212433313: 	draw	content	{"x":484,"y":389}
1470212433321: 	draw	content	{"x":486,"y":389}
1470212433329: 	draw	content	{"x":489,"y":389}
1470212433338: 	draw	content	{"x":492,"y":389}
1470212433346: 	draw	content	{"x":495,"y":388}
1470212433354: 	draw	content	{"x":498,"y":388}
1470212433363: 	draw	content	{"x":501,"y":387}
1470212433371: 	draw	content	{"x":504,"y":388}
1470212433379: 	draw	content	{"x":508,"y":388}
1470212433389: 	draw	content	{"x":510,"y":388}
1470212433396: 	draw	content	{"x":513,"y":387}
1470212433404: 	draw	content	{"x":516,"y":387}
1470212433413: 	draw	content	{"x":520,"y":387}
1470212433421: 	draw	content	{"x":522,"y":387}
1470212433429: 	draw	content	{"x":525,"y":386}
1470212433438: 	draw	content	{"x":528,"y":387}
1470212433446: 	draw	content	{"x":531,"y":387}
1470212433454: 	draw	content	{"x":534,"y":387}
1470212433464: 	draw	content	{"x":536,"y":387}
1470212433472: 	draw	content	{"x":539,"y":386}
1470212433479: 	draw	content	{"x":541,"y":386}
1470212433489: 	draw	content	{"x":544,"y":386}
1470212433496: 	draw	content	{"x":546,"y":386}
1470212433504: 	draw	content	{"x":548,"y":386}
1470212433513: 	draw	content	{"x":550,"y":386}
1470212433521: 	draw	content	{"x":553,"y":386}
1470212433529: 	draw	content	{"x":554,"y":386}
1470212433539: 	draw	content	{"x":557,"y":386}
1470212433546: 	draw	content	{"x":559,"y":386}
1470212433555: 	draw	content	{"x":561,"y":386}
1470212433564: 	draw	content	{"x":563,"y":386}
1470212433571: 	draw	content	{"x":565,"y":385}
1470212433579: 	draw	content	{"x":566,"y":385}
1470212433588: 	draw	content	{"x":568,"y":385}
1470212433596: 	draw	content	{"x":569,"y":385}
1470212433604: 	draw	content	{"x":571,"y":385}
1470212433613: 	draw	content	{"x":572,"y":385}
1470212433621: 	draw	content	{"x":574,"y":385}
1470212433639: 	draw	content	{"x":576,"y":385}
1470212433655: 	draw	content	{"x":577,"y":385}
1470212433672: 	draw	content	{"x":578,"y":386}
1470212433680: 	draw	content	{"x":578,"y":385}
1470212433688: 	draw	content	{"x":579,"y":385}
1470212433739: 	draw	content	{"x":580,"y":386}
1470212433780: 	draw	content	{"x":580,"y":385}
1470212433877: 	draw	content	{"x":581,"y":385}
1470212435168: 	draw	content	{"x":430,"y":460}
1470212435396: 	draw	content	{"x":445,"y":458}
1470212435405: 	draw	content	{"x":448,"y":458}
1470212435413: 	draw	content	{"x":450,"y":457}
1470212435421: 	draw	content	{"x":453,"y":457}
1470212435430: 	draw	content	{"x":456,"y":456}
1470212435439: 	draw	content	{"x":459,"y":456}
1470212435448: 	draw	content	{"x":462,"y":455}
1470212435455: 	draw	content	{"x":465,"y":455}
1470212435463: 	draw	content	{"x":468,"y":454}
1470212435470: 	draw	content	{"x":471,"y":454}
1470212435480: 	draw	content	{"x":474,"y":453}
1470212435489: 	draw	content	{"x":477,"y":453}
1470212435496: 	draw	content	{"x":481,"y":452}
1470212435506: 	draw	content	{"x":484,"y":452}
1470212435513: 	draw	content	{"x":487,"y":452}
1470212435521: 	draw	content	{"x":491,"y":452}
1470212435531: 	draw	content	{"x":494,"y":451}
1470212435538: 	draw	content	{"x":497,"y":452}
1470212435546: 	draw	content	{"x":500,"y":451}
1470212435555: 	draw	content	{"x":503,"y":451}
1470212435563: 	draw	content	{"x":506,"y":451}
1470212435570: 	draw	content	{"x":509,"y":450}
1470212435580: 	draw	content	{"x":512,"y":450}
1470212435587: 	draw	content	{"x":515,"y":450}
1470212435596: 	draw	content	{"x":518,"y":450}
1470212435605: 	draw	content	{"x":520,"y":450}
1470212435612: 	draw	content	{"x":524,"y":449}
1470212435621: 	draw	content	{"x":526,"y":449}
1470212435629: 	draw	content	{"x":529,"y":449}
1470212435638: 	draw	content	{"x":532,"y":449}
1470212435646: 	draw	content	{"x":534,"y":449}
1470212435656: 	draw	content	{"x":536,"y":449}
1470212435662: 	draw	content	{"x":538,"y":449}
1470212435672: 	draw	content	{"x":541,"y":449}
1470212435680: 	draw	content	{"x":544,"y":449}
1470212435687: 	draw	content	{"x":546,"y":448}
1470212435696: 	draw	content	{"x":549,"y":448}
1470212435705: 	draw	content	{"x":551,"y":448}
1470212435713: 	draw	content	{"x":553,"y":448}
1470212435721: 	draw	content	{"x":555,"y":448}
1470212435729: 	draw	content	{"x":557,"y":447}
1470212435737: 	draw	content	{"x":559,"y":447}
1470212435746: 	draw	content	{"x":561,"y":447}
1470212435755: 	draw	content	{"x":563,"y":447}
1470212435763: 	draw	content	{"x":564,"y":447}
1470212435771: 	draw	content	{"x":566,"y":447}
1470212435780: 	draw	content	{"x":568,"y":447}
1470212435788: 	draw	content	{"x":570,"y":447}
1470212435796: 	draw	content	{"x":571,"y":447}
1470212435806: 	draw	content	{"x":572,"y":447}
1470212435813: 	draw	content	{"x":573,"y":447}
1470212435820: 	draw	content	{"x":575,"y":448}
1470212435829: 	draw	content	{"x":576,"y":448}
1470212435846: 	draw	content	{"x":577,"y":448}
1470212435854: 	draw	content	{"x":578,"y":447}
1470212435863: 	draw	content	{"x":579,"y":447}
1470212435881: 	draw	content	{"x":580,"y":447}
1470212435896: 	draw	content	{"x":581,"y":447}
1470212435947: 	draw	content	{"x":582,"y":447}
1470212436047: 	draw	content	{"x":583,"y":447}
1470212436110: 	draw	content	{"x":584,"y":447}
1470212436124: 	draw	content	{"x":584,"y":446}
1470212436198: 	draw	content	{"x":585,"y":446}
1470212436733: 	draw	content	{"x":440,"y":427}
1470212436889: 	draw	content	{"x":455,"y":425}
1470212436896: 	draw	content	{"x":457,"y":426}
1470212436905: 	draw	content	{"x":459,"y":426}
1470212436913: 	draw	content	{"x":461,"y":425}
1470212437359: 	draw	content	{"x":491,"y":424}
1470212437496: 	draw	content	{"x":507,"y":423}
1470212438084: 	draw	content	{"x":540,"y":420}
1470212438222: 	draw	content	{"x":557,"y":419}
1470212438231: 	draw	content	{"x":559,"y":419}
1470212438238: 	draw	content	{"x":560,"y":419}
1470212438246: 	draw	content	{"x":562,"y":419}
1470212438255: 	draw	content	{"x":564,"y":419}
1470212446041: 	draw	content	{"x":119,"y":278}
1470212446329: 	draw	content	{"x":115,"y":293}
1470212446338: 	draw	content	{"x":116,"y":295}
1470212446346: 	draw	content	{"x":117,"y":297}
1470212446353: 	draw	content	{"x":117,"y":299}
1470212446362: 	draw	content	{"x":118,"y":301}
1470212446371: 	draw	content	{"x":118,"y":304}
1470212446378: 	draw	content	{"x":119,"y":306}
1470212446388: 	draw	content	{"x":120,"y":309}
1470212446395: 	draw	content	{"x":120,"y":311}
1470212446404: 	draw	content	{"x":121,"y":314}
1470212446412: 	draw	content	{"x":122,"y":317}
1470212446421: 	draw	content	{"x":123,"y":319}
1470212446429: 	draw	content	{"x":123,"y":321}
1470212446437: 	draw	content	{"x":124,"y":324}
1470212446445: 	draw	content	{"x":124,"y":326}
1470212446453: 	draw	content	{"x":124,"y":329}
1470212446462: 	draw	content	{"x":125,"y":331}
1470212446471: 	draw	content	{"x":126,"y":333}
1470212446478: 	draw	content	{"x":127,"y":335}
1470212446488: 	draw	content	{"x":127,"y":337}
1470212446496: 	draw	content	{"x":128,"y":339}
1470212446505: 	draw	content	{"x":129,"y":340}
1470212446513: 	draw	content	{"x":130,"y":342}
1470212446521: 	draw	content	{"x":131,"y":345}
1470212446528: 	draw	content	{"x":132,"y":347}
1470212446538: 	draw	content	{"x":132,"y":349}
1470212446545: 	draw	content	{"x":133,"y":351}
1470212446555: 	draw	content	{"x":134,"y":352}
1470212446562: 	draw	content	{"x":135,"y":354}
1470212446571: 	draw	content	{"x":136,"y":356}
1470212446580: 	draw	content	{"x":137,"y":358}
1470212446588: 	draw	content	{"x":137,"y":359}
1470212446596: 	draw	content	{"x":138,"y":361}
1470212446604: 	draw	content	{"x":139,"y":363}
1470212446612: 	draw	content	{"x":140,"y":365}
1470212446625: 	draw	content	{"x":142,"y":367}
1470212446638: 	draw	content	{"x":144,"y":370}
1470212446646: 	draw	content	{"x":145,"y":372}
1470212446654: 	draw	content	{"x":146,"y":373}
1470212446662: 	draw	content	{"x":147,"y":374}
1470212446670: 	draw	content	{"x":149,"y":376}
1470212446680: 	draw	content	{"x":150,"y":378}
1470212446687: 	draw	content	{"x":151,"y":379}
1470212446695: 	draw	content	{"x":152,"y":381}
1470212446704: 	draw	content	{"x":154,"y":382}
1470212446712: 	draw	content	{"x":155,"y":383}
1470212446721: 	draw	content	{"x":156,"y":384}
1470212446729: 	draw	content	{"x":158,"y":385}
1470212446737: 	draw	content	{"x":159,"y":386}
1470212446746: 	draw	content	{"x":161,"y":387}
1470212446754: 	draw	content	{"x":162,"y":388}
1470212446762: 	draw	content	{"x":164,"y":389}
1470212446771: 	draw	content	{"x":165,"y":390}
1470212446780: 	draw	content	{"x":166,"y":391}
1470212446787: 	draw	content	{"x":168,"y":391}
1470212446797: 	draw	content	{"x":169,"y":392}
1470212446805: 	draw	content	{"x":171,"y":393}
1470212446817: 	draw	content	{"x":172,"y":393}
1470212446823: 	draw	content	{"x":174,"y":394}
1470212446841: 	draw	content	{"x":177,"y":395}
