1470213422826: 	acted on	innerText
1470213422875: 	sub-instrument	start	shapes	true
1470213422876: 	activate	shapes
1470213441626: 	acted on	rectangle
1470213441691: 	sub-instrument	rectangle	shapes	true
1470213443527: 	shape started	{"x":44,"y":17}
1470213443530: 	shape continued	10	rectangle
1470213443742: 	shape continued	14	rectangle
1470213443749: 	shape continued	15	rectangle
1470213443757: 	shape continued	16	rectangle
1470213443766: 	shape continued	17	rectangle
1470213443775: 	shape continued	19	rectangle
1470213443783: 	shape continued	19	rectangle
1470213443791: 	shape continued	20	rectangle
1470213443798: 	shape continued	21	rectangle
1470213443806: 	shape continued	23	rectangle
1470213443823: 	shape continued	25	rectangle
1470213443831: 	shape continued	26	rectangle
1470213443841: 	shape continued	27	rectangle
1470213443848: 	shape continued	28	rectangle
1470213443857: 	shape continued	29	rectangle
1470213443865: 	shape continued	30	rectangle
1470213443874: 	shape continued	31	rectangle
1470213443881: 	shape continued	32	rectangle
1470213443891: 	shape continued	32	rectangle
1470213443899: 	shape continued	33	rectangle
1470213443906: 	shape continued	34	rectangle
1470213443916: 	shape continued	36	rectangle
1470213443923: 	shape continued	37	rectangle
1470213443931: 	shape continued	38	rectangle
1470213443941: 	shape continued	39	rectangle
1470213443950: 	shape continued	40	rectangle
1470213443957: 	shape continued	41	rectangle
1470213443965: 	shape continued	42	rectangle
1470213443973: 	shape continued	43	rectangle
1470213443981: 	shape continued	44	rectangle
1470213443990: 	shape continued	45	rectangle
1470213443999: 	shape continued	46	rectangle
1470213444006: 	shape continued	47	rectangle
1470213444016: 	shape continued	48	rectangle
1470213444023: 	shape continued	49	rectangle
1470213444032: 	shape continued	50	rectangle
1470213444049: 	shape continued	51	rectangle
1470213444054: 	shape continued	52	rectangle
1470213444060: 	shape continued	53	rectangle
1470213444066: 	shape continued	54	rectangle
1470213444074: 	shape continued	55	rectangle
1470213444082: 	shape continued	55	rectangle
1470213444097: 	shape continued	56	rectangle
1470213444102: 	shape continued	57	rectangle
1470213444109: 	shape continued	57	rectangle
1470213444117: 	shape continued	58	rectangle
1470213444124: 	shape continued	59	rectangle
1470213444143: 	shape continued	59	rectangle
1470213444147: 	shape continued	60	rectangle
1470213444152: 	shape continued	61	rectangle
1470213444171: 	shape continued	62	rectangle
1470213444197: 	shape continued	63	rectangle
1470213444231: 	shape continued	63	rectangle
1470213444240: 	shape continued	64	rectangle
1470213444342: 	shape continued	65	rectangle
1470213444358: 	shape continued	65	rectangle
1470213444399: 	shape continued	66	rectangle
1470213444433: 	shape continued	66	rectangle
1470213444483: 	shape continued	67	rectangle
1470213444491: 	shape continued	67	rectangle
1470213444507: 	shape continued	67	rectangle
1470213444515: 	shape continued	68	rectangle
1470213444523: 	shape continued	68	rectangle
1470213444533: 	shape continued	69	rectangle
1470213444540: 	shape continued	69	rectangle
1470213444558: 	shape continued	70	rectangle
1470213444582: 	shape continued	71	rectangle
1470213444608: 	shape continued	72	rectangle
1470213444641: 	shape continued	72	rectangle
1470213444673: 	shape continued	73	rectangle
1470213444724: 	shape continued	73	rectangle
1470213444779: 	shape continued	73	rectangle
1470213444804: 	shape continued	73	rectangle
1470213444829: 	shape continued	73	rectangle
1470213444838: 	shape continued	72	rectangle
1470213444853: 	shape continued	72	rectangle
1470213444865: 	shape continued	71	rectangle
1470213444882: 	shape continued	70	rectangle
1470213444915: 	shape continued	70	rectangle
1470213444918: 	shape continued	69	rectangle
1470213444957: 	shape continued	68	rectangle
1470213444983: 	shape continued	68	rectangle
1470213445041: 	shape continued	67	rectangle
1470213445080: 	shape continued	67	rectangle
1470213445095: 	shape continued	66	rectangle
1470213445159: 	shape continued	65	rectangle
1470213445175: 	shape continued	65	rectangle
1470213445234: 	shape continued	65	rectangle
1470213445242: 	shape continued	64	rectangle
1470213445275: 	shape continued	64	rectangle
1470213445309: 	shape continued	63	rectangle
1470213445317: 	shape continued	63	rectangle
1470213445360: 	shape continued	63	rectangle
1470213445385: 	shape continued	62	rectangle
1470213445417: 	shape continued	62	rectangle
1470213445500: 	shape continued	62	rectangle
1470213445568: 	shape continued	62	rectangle
1470213445585: 	shape continued	63	rectangle
1470213445609: 	shape continued	64	rectangle
1470213445618: 	shape continued	65	rectangle
1470213445625: 	shape continued	67	rectangle
1470213445633: 	shape continued	67	rectangle
1470213445649: 	shape continued	68	rectangle
1470213445666: 	shape continued	69	rectangle
1470213445683: 	shape continued	70	rectangle
1470213445699: 	shape continued	71	rectangle
1470213445715: 	shape continued	72	rectangle
1470213445723: 	shape continued	72	rectangle
1470213445740: 	shape continued	73	rectangle
1470213445758: 	shape continued	74	rectangle
1470213445774: 	shape continued	75	rectangle
1470213445799: 	shape continued	75	rectangle
1470213445807: 	shape continued	76	rectangle
1470213445866: 	shape continued	77	rectangle
1470213445882: 	shape continued	77	rectangle
1470213445933: 	shape continued	78	rectangle
1470213445982: 	shape continued	79	rectangle
1470213446583: 	shape continued	79	rectangle
1470213446790: 	shape continued	78	rectangle
1470213446866: 	shape continued	78	rectangle
1470213446966: 	shape continued	77	rectangle
1470213449527: 	acted on	menu
1470213450215: 	acted on	innerText
1470213450299: 	sub-instrument	stop	shapes	false
1470213450300: 	deactivate	shapes
1470213837536: 	acted on	sample
1470213839080: 	acted on	innerText
1470213839170: 	sub-instrument	start	shapes	true
1470213839171: 	activate	shapes
1470213841547: 	acted on	circle
1470213841646: 	sub-instrument	circle	shapes	true
1470213843364: 	shape started	{"x":789,"y":190}
1470213843368: 	shape continued	10	circle
1470213843478: 	shape continued	15	circle
1470213843486: 	shape continued	17	circle
1470213843493: 	shape continued	19	circle
1470213843501: 	shape continued	21	circle
1470213843510: 	shape continued	22	circle
1470213843518: 	shape continued	24	circle
1470213843526: 	shape continued	26	circle
1470213843535: 	shape continued	27	circle
1470213843543: 	shape continued	29	circle
1470213843551: 	shape continued	30	circle
1470213843560: 	shape continued	32	circle
1470213843569: 	shape continued	33	circle
1470213843576: 	shape continued	34	circle
1470213843585: 	shape continued	36	circle
1470213843593: 	shape continued	37	circle
1470213843601: 	shape continued	39	circle
1470213843610: 	shape continued	40	circle
1470213843618: 	shape continued	41	circle
1470213843627: 	shape continued	42	circle
1470213843635: 	shape continued	43	circle
1470213843643: 	shape continued	44	circle
1470213843661: 	shape continued	45	circle
1470213843668: 	shape continued	46	circle
1470213843675: 	shape continued	47	circle
1470213843694: 	shape continued	48	circle
1470213843711: 	shape continued	49	circle
1470213843727: 	shape continued	50	circle
1470213843744: 	shape continued	51	circle
1470213843777: 	shape continued	51	circle
1470213843794: 	shape continued	52	circle
1470213843918: 	shape continued	53	circle
1470213843926: 	shape continued	53	circle
1470213843994: 	shape continued	54	circle
1470213844853: 	shape started	{"x":932,"y":172}
1470213844856: 	shape continued	10	circle
1470213845088: 	shape continued	15	circle
1470213845097: 	shape continued	16	circle
1470213845105: 	shape continued	17	circle
1470213845120: 	shape continued	18	circle
1470213845129: 	shape continued	18	circle
1470213845137: 	shape continued	19	circle
1470213845144: 	shape continued	20	circle
1470213845153: 	shape continued	20	circle
1470213845160: 	shape continued	21	circle
1470213845167: 	shape continued	22	circle
1470213845185: 	shape continued	23	circle
1470213845192: 	shape continued	24	circle
1470213845210: 	shape continued	25	circle
1470213845217: 	shape continued	26	circle
1470213845227: 	shape continued	27	circle
1470213845244: 	shape continued	28	circle
1470213845260: 	shape continued	29	circle
1470213845268: 	shape continued	29	circle
1470213845277: 	shape continued	30	circle
1470213845294: 	shape continued	31	circle
1470213845311: 	shape continued	32	circle
1470213845337: 	shape continued	33	circle
1470213845361: 	shape continued	33	circle
1470213845369: 	shape continued	34	circle
1470213845396: 	shape continued	34	circle
1470213845405: 	shape continued	35	circle
1470213845421: 	shape continued	35	circle
1470213845429: 	shape continued	36	circle
1470213845452: 	shape continued	36	circle
1470213845470: 	shape continued	37	circle
1470213845512: 	shape continued	37	circle
1470213845528: 	shape continued	38	circle
1470213845571: 	shape continued	38	circle
1470213845580: 	shape continued	39	circle
1470213845616: 	shape continued	39	circle
1470213845624: 	shape continued	40	circle
1470213845658: 	shape continued	41	circle
1470213845668: 	shape continued	41	circle
1470213845690: 	shape continued	42	circle
1470213845708: 	shape continued	42	circle
1470213845732: 	shape continued	43	circle
1470213845742: 	shape continued	43	circle
1470213845766: 	shape continued	44	circle
1470213845777: 	shape continued	44	circle
1470213845788: 	shape continued	45	circle
1470213845812: 	shape continued	46	circle
1470213845845: 	shape continued	47	circle
1470213845853: 	shape continued	47	circle
1470213845879: 	shape continued	48	circle
1470213845895: 	shape continued	49	circle
1470213845929: 	shape continued	50	circle
1470213845953: 	shape continued	51	circle
1470213845978: 	shape continued	51	circle
1470213845995: 	shape continued	52	circle
1470213846028: 	shape continued	53	circle
1470213846095: 	shape continued	54	circle
1470213846103: 	shape continued	54	circle
1470213846145: 	shape continued	55	circle
1470213846178: 	shape continued	55	circle
1470213846257: 	shape continued	56	circle
1470213851973: 	acted on	innerText
1470213852061: 	sub-instrument	stop	shapes	false
1470213852062: 	deactivate	shapes
