1470213159379: 	acted on	sample
1470213160187: 	acted on	sample
1470213172096: 	acted on	innerText
1470213172221: 	sub-instrument	start	shapes	true
1470213172222: 	activate	shapes
1470213172646: 	acted on	circle
1470213172736: 	sub-instrument	circle	shapes	true
1470213173297: 	shape started	{"x":1118,"y":180}
1470213173300: 	shape continued	10	circle
1470213173336: 	shape continued	16	circle
1470213173343: 	shape continued	21	circle
1470213173353: 	shape continued	27	circle
1470213173361: 	shape continued	34	circle
1470213173370: 	shape continued	42	circle
1470213173377: 	shape continued	49	circle
1470213173388: 	shape continued	57	circle
1470213173394: 	shape continued	64	circle
1470213173401: 	shape continued	71	circle
1470213173411: 	shape continued	79	circle
1470213173419: 	shape continued	85	circle
1470213173427: 	shape continued	93	circle
1470213173435: 	shape continued	100	circle
1470213173443: 	shape continued	106	circle
1470213173452: 	shape continued	113	circle
1470213173461: 	shape continued	121	circle
1470213173468: 	shape continued	127	circle
1470213173476: 	shape continued	133	circle
1470213173485: 	shape continued	139	circle
1470213173494: 	shape continued	146	circle
1470213173502: 	shape continued	151	circle
1470213173510: 	shape continued	157	circle
1470213173518: 	shape continued	163	circle
1470213173527: 	shape continued	168	circle
1470213173535: 	shape continued	174	circle
1470213173543: 	shape continued	179	circle
1470213173551: 	shape continued	184	circle
1470213173560: 	shape continued	188	circle
1470213173568: 	shape continued	192	circle
1470213173578: 	shape continued	196	circle
1470213173585: 	shape continued	199	circle
1470213173593: 	shape continued	203	circle
1470213173602: 	shape continued	206	circle
1470213173610: 	shape continued	210	circle
1470213173618: 	shape continued	212	circle
1470213173626: 	shape continued	215	circle
1470213173635: 	shape continued	218	circle
1470213173644: 	shape continued	221	circle
1470213173651: 	shape continued	224	circle
1470213173660: 	shape continued	226	circle
1470213173669: 	shape continued	229	circle
1470213173677: 	shape continued	232	circle
1470213173685: 	shape continued	235	circle
1470213173693: 	shape continued	237	circle
1470213173702: 	shape continued	240	circle
1470213173710: 	shape continued	243	circle
1470213173718: 	shape continued	246	circle
1470213173726: 	shape continued	248	circle
1470213173735: 	shape continued	251	circle
1470213173743: 	shape continued	253	circle
1470213173753: 	shape continued	255	circle
1470213173760: 	shape continued	257	circle
1470213173768: 	shape continued	259	circle
1470213173776: 	shape continued	261	circle
1470213173785: 	shape continued	263	circle
1470213173793: 	shape continued	266	circle
1470213173801: 	shape continued	268	circle
1470213173811: 	shape continued	269	circle
1470213173819: 	shape continued	271	circle
1470213173827: 	shape continued	273	circle
1470213173835: 	shape continued	275	circle
1470213173844: 	shape continued	276	circle
