1470217256610: 	acted on	sample
1470217259602: 	acted on	innerText
1470217259718: 	sub-instrument	start	shapes	true
1470217259719: 	activate	shapes
1470217260511: 	acted on	circle
1470217260600: 	sub-instrument	circle	shapes	true
1470217261950: 	acted on	circle
1470217262108: 	sub-instrument	circle	shapes	true
1470217262895: 	shape started	{"x":1020,"y":188}
1470217262897: 	shape continued	10	circle
1470217262992: 	shape continued	16	circle
1470217262999: 	shape continued	18	circle
1470217263008: 	shape continued	21	circle
1470217263016: 	shape continued	24	circle
1470217263024: 	shape continued	27	circle
1470217263034: 	shape continued	31	circle
1470217263042: 	shape continued	33	circle
1470217263049: 	shape continued	37	circle
1470217263058: 	shape continued	40	circle
1470217263066: 	shape continued	44	circle
1470217263074: 	shape continued	47	circle
1470217263083: 	shape continued	50	circle
1470217263091: 	shape continued	54	circle
1470217263098: 	shape continued	57	circle
1470217263109: 	shape continued	60	circle
1470217263116: 	shape continued	63	circle
1470217263124: 	shape continued	66	circle
1470217263133: 	shape continued	69	circle
1470217263140: 	shape continued	72	circle
1470217263150: 	shape continued	75	circle
1470217263158: 	shape continued	78	circle
1470217263166: 	shape continued	82	circle
1470217263175: 	shape continued	85	circle
1470217263183: 	shape continued	88	circle
1470217263191: 	shape continued	93	circle
1470217263200: 	shape continued	96	circle
1470217263208: 	shape continued	100	circle
1470217263215: 	shape continued	104	circle
1470217263224: 	shape continued	107	circle
1470217263232: 	shape continued	111	circle
1470217263240: 	shape continued	114	circle
1470217263249: 	shape continued	118	circle
1470217263257: 	shape continued	120	circle
1470217263266: 	shape continued	123	circle
1470217263275: 	shape continued	125	circle
1470217263282: 	shape continued	128	circle
1470217263290: 	shape continued	131	circle
1470217263299: 	shape continued	134	circle
1470217263307: 	shape continued	137	circle
1470217263316: 	shape continued	139	circle
1470217263324: 	shape continued	142	circle
1470217263332: 	shape continued	144	circle
1470217263340: 	shape continued	146	circle
1470217263350: 	shape continued	148	circle
1470217263357: 	shape continued	151	circle
1470217263366: 	shape continued	153	circle
1470217263374: 	shape continued	155	circle
1470217263383: 	shape continued	157	circle
1470217263390: 	shape continued	160	circle
1470217263399: 	shape continued	162	circle
1470217263407: 	shape continued	164	circle
1470217263415: 	shape continued	168	circle
1470217263425: 	shape continued	170	circle
1470217263432: 	shape continued	173	circle
1470217263440: 	shape continued	176	circle
1470217263449: 	shape continued	178	circle
1470217263457: 	shape continued	181	circle
1470217263467: 	shape continued	184	circle
1470217263476: 	shape continued	187	circle
1470217263483: 	shape continued	190	circle
1470217263490: 	shape continued	193	circle
1470217263500: 	shape continued	197	circle
1470217263508: 	shape continued	200	circle
1470217263516: 	shape continued	204	circle
1470217263525: 	shape continued	208	circle
1470217263533: 	shape continued	211	circle
1470217263541: 	shape continued	215	circle
1470217263549: 	shape continued	217	circle
1470217263559: 	shape continued	220	circle
1470217263566: 	shape continued	224	circle
1470217263575: 	shape continued	227	circle
1470217263583: 	shape continued	230	circle
1470217263591: 	shape continued	233	circle
1470217263600: 	shape continued	236	circle
1470217263607: 	shape continued	239	circle
1470217263616: 	shape continued	242	circle
1470217263625: 	shape continued	246	circle
1470217263634: 	shape continued	249	circle
1470217263641: 	shape continued	253	circle
1470217263650: 	shape continued	256	circle
1470217263658: 	shape continued	260	circle
1470217263666: 	shape continued	263	circle
1470217263675: 	shape continued	267	circle
1470217263683: 	shape continued	270	circle
1470217263691: 	shape continued	273	circle
1470217263700: 	shape continued	276	circle
1470217263707: 	shape continued	279	circle
1470217263716: 	shape continued	282	circle
1470217263725: 	shape continued	284	circle
1470217263733: 	shape continued	288	circle
1470217263741: 	shape continued	290	circle
1470217263751: 	shape continued	293	circle
1470217263758: 	shape continued	295	circle
1470217263766: 	shape continued	299	circle
1470217263775: 	shape continued	301	circle
1470217263782: 	shape continued	304	circle
1470217263790: 	shape continued	306	circle
1470217263800: 	shape continued	308	circle
1470217263808: 	shape continued	311	circle
1470217263816: 	shape continued	313	circle
1470217263825: 	shape continued	315	circle
1470217263833: 	shape continued	317	circle
1470217263841: 	shape continued	319	circle
1470217263850: 	shape continued	321	circle
1470217263858: 	shape continued	324	circle
1470217263866: 	shape continued	326	circle
1470217263875: 	shape continued	328	circle
1470217263884: 	shape continued	330	circle
1470217263891: 	shape continued	331	circle
1470217263900: 	shape continued	333	circle
1470217263907: 	shape continued	335	circle
1470217263916: 	shape continued	336	circle
1470217263925: 	shape continued	338	circle
1470217263933: 	shape continued	340	circle
1470217263942: 	shape continued	341	circle
1470217263950: 	shape continued	342	circle
1470217263959: 	shape continued	343	circle
1470217263966: 	shape continued	344	circle
1470217263975: 	shape continued	345	circle
1470217263983: 	shape continued	346	circle
1470217263991: 	shape continued	347	circle
1470217264000: 	shape continued	348	circle
1470217264016: 	shape continued	349	circle
1470217264025: 	shape continued	350	circle
1470217264033: 	shape continued	351	circle
1470217264042: 	shape continued	352	circle
1470217264050: 	shape continued	353	circle
1470217264058: 	shape continued	354	circle
1470217264066: 	shape continued	356	circle
1470217264075: 	shape continued	357	circle
1470217264083: 	shape continued	358	circle
1470217264091: 	shape continued	359	circle
1470217264100: 	shape continued	360	circle
1470217264108: 	shape continued	361	circle
1470217264125: 	shape continued	362	circle
1470217264132: 	shape continued	363	circle
1470217264158: 	shape continued	364	circle
1470217264208: 	shape continued	365	circle
1470217265142: 	acted on	innerText
1470217265266: 	sub-instrument	stop	shapes	false
1470217265267: 	deactivate	shapes
1470217458999: 	acted on	innerText
1470217459106: 	sub-instrument	start	shapes	true
1470217459107: 	activate	shapes
1470217460874: 	acted on	rectangle
1470217460964: 	sub-instrument	rectangle	shapes	true
1470217463141: 	acted on	rectangle
1470217463247: 	sub-instrument	rectangle	shapes	true
1470217463590: 	acted on	sample
1470217464391: 	acted on	rectangle
1470217464465: 	sub-instrument	rectangle	shapes	true
1470217467242: 	shape started	{"x":226,"y":198}
1470217467245: 	shape continued	10	rectangle
1470217468234: 	shape started	{"x":231,"y":221}
1470217468236: 	shape continued	10	rectangle
1470217468406: 	shape continued	14	rectangle
1470217468414: 	shape continued	15	rectangle
1470217468422: 	shape continued	17	rectangle
1470217468431: 	shape continued	18	rectangle
1470217468439: 	shape continued	19	rectangle
1470217468447: 	shape continued	21	rectangle
1470217468456: 	shape continued	22	rectangle
1470217468465: 	shape continued	24	rectangle
1470217468473: 	shape continued	25	rectangle
1470217468481: 	shape continued	26	rectangle
1470217468489: 	shape continued	27	rectangle
1470217468497: 	shape continued	28	rectangle
1470217468506: 	shape continued	29	rectangle
1470217468514: 	shape continued	30	rectangle
1470217468522: 	shape continued	30	rectangle
1470217468532: 	shape continued	31	rectangle
1470217468547: 	shape continued	32	rectangle
1470217468556: 	shape continued	33	rectangle
1470217468573: 	shape continued	34	rectangle
1470217469275: 	shape started	{"x":268,"y":248}
1470217469278: 	shape continued	10	rectangle
1470217469483: 	shape continued	16	rectangle
1470217469490: 	shape continued	17	rectangle
1470217469499: 	shape continued	18	rectangle
1470217469506: 	shape continued	19	rectangle
1470217469515: 	shape continued	20	rectangle
1470217469523: 	shape continued	21	rectangle
1470217469532: 	shape continued	22	rectangle
1470217469539: 	shape continued	23	rectangle
1470217469548: 	shape continued	24	rectangle
1470217469556: 	shape continued	25	rectangle
1470217469564: 	shape continued	27	rectangle
1470217469581: 	shape continued	28	rectangle
1470217469589: 	shape continued	30	rectangle
1470217469606: 	shape continued	31	rectangle
1470217469615: 	shape continued	32	rectangle
1470217469623: 	shape continued	33	rectangle
1470217469631: 	shape continued	34	rectangle
1470217469639: 	shape continued	35	rectangle
1470217469656: 	shape continued	36	rectangle
1470217469665: 	shape continued	37	rectangle
1470217469673: 	shape continued	38	rectangle
1470217469681: 	shape continued	39	rectangle
1470217469689: 	shape continued	40	rectangle
1470217469698: 	shape continued	41	rectangle
1470217469706: 	shape continued	42	rectangle
1470217469715: 	shape continued	43	rectangle
1470217469723: 	shape continued	44	rectangle
1470217469731: 	shape continued	45	rectangle
1470217469740: 	shape continued	46	rectangle
1470217469748: 	shape continued	47	rectangle
1470217469756: 	shape continued	48	rectangle
1470217469764: 	shape continued	49	rectangle
1470217469773: 	shape continued	50	rectangle
1470217469782: 	shape continued	51	rectangle
1470217469789: 	shape continued	52	rectangle
1470217469798: 	shape continued	53	rectangle
1470217469806: 	shape continued	54	rectangle
1470217469814: 	shape continued	55	rectangle
1470217469823: 	shape continued	57	rectangle
1470217469840: 	shape continued	59	rectangle
1470217469847: 	shape continued	60	rectangle
1470217469857: 	shape continued	61	rectangle
1470217469865: 	shape continued	62	rectangle
1470217469873: 	shape continued	63	rectangle
1470217469881: 	shape continued	64	rectangle
1470217469889: 	shape continued	65	rectangle
1470217469898: 	shape continued	66	rectangle
1470217469907: 	shape continued	67	rectangle
1470217469914: 	shape continued	68	rectangle
1470217469923: 	shape continued	69	rectangle
1470217469931: 	shape continued	70	rectangle
1470217469939: 	shape continued	72	rectangle
1470217469947: 	shape continued	73	rectangle
1470217469956: 	shape continued	74	rectangle
1470217469964: 	shape continued	75	rectangle
1470217469972: 	shape continued	77	rectangle
1470217469981: 	shape continued	78	rectangle
1470217469989: 	shape continued	79	rectangle
1470217469997: 	shape continued	80	rectangle
1470217470007: 	shape continued	81	rectangle
1470217470014: 	shape continued	82	rectangle
1470217470022: 	shape continued	83	rectangle
1470217470031: 	shape continued	84	rectangle
1470217470039: 	shape continued	85	rectangle
1470217470047: 	shape continued	86	rectangle
1470217470056: 	shape continued	87	rectangle
1470217470064: 	shape continued	88	rectangle
