1469813532941: 
1469813586784: 
1469813599281: 
1469813608163: 
1469817251052: 
1469817333088: 	acted on	outline
1469817335926: 	acted on	innerText
1469817336009: 	sub-instrument	start	mover	true
1469817336010: 	activate	mover
1469817336534: 	acted on	image-5
1469817336537: 	action	mover	image-5	{"x":213,"y":134}
1469817336543: 	start moving	image-5	from	{"x":117,"y":47}
1469817336545: 	action	mover	image-5	{"x":213,"y":134}
1469817336547: 	moved	image-5	to	{"x":213,"y":134}
1469817336548: 	action	mover	image-5	{"x":213,"y":134}
1469817336549: 	moved	image-5	to	{"x":213,"y":134}
1469817336550: 	action	mover	image-5	{"x":213,"y":134}
1469817336551: 	action	mover	image-5	{"x":213,"y":134}
1469817336551: 	moved	image-5	to	{"x":213,"y":134}
1469817336552: 	moved	image-5	to	{"x":213,"y":134}
1469817336553: 	action	mover	image-5	{"x":213,"y":134}
1469817336553: 	moved	image-5	to	{"x":213,"y":134}
1469817336566: 	action	mover	image-5	{"x":210,"y":149}
1469817336567: 	moved	image-5	to	{"x":210,"y":149}
1469817336569: 	action	mover	image-5	{"x":210,"y":149}
1469817336570: 	moved	image-5	to	{"x":210,"y":149}
1469817336571: 	action	mover	image-5	{"x":210,"y":149}
1469817336572: 	moved	image-5	to	{"x":210,"y":149}
1469817336573: 	action	mover	image-5	{"x":210,"y":149}
1469817336573: 	moved	image-5	to	{"x":210,"y":149}
1469817336581: 	action	mover	image-5	{"x":210,"y":157}
1469817336582: 	moved	image-5	to	{"x":210,"y":157}
1469817336583: 	action	mover	image-5	{"x":210,"y":157}
1469817336584: 	action	mover	image-5	{"x":210,"y":157}
1469817336584: 	moved	image-5	to	{"x":210,"y":157}
1469817336585: 	moved	image-5	to	{"x":210,"y":157}
1469817336586: 	action	mover	image-5	{"x":210,"y":157}
1469817336586: 	moved	image-5	to	{"x":210,"y":157}
1469817336598: 	action	mover	image-5	{"x":211,"y":164}
1469817336599: 	moved	image-5	to	{"x":211,"y":164}
1469817336600: 	action	mover	image-5	{"x":211,"y":164}
1469817336601: 	moved	image-5	to	{"x":211,"y":164}
1469817336602: 	action	mover	image-5	{"x":211,"y":164}
