1469817675385: 	acted on	sample
1469817678676: 	acted on	innerText
1469817678751: 	sub-instrument	start	draw	true
1469817678752: 	activate	draw
1469817683711: 	draw	content	{"x":82,"y":660}
1469817683950: 	draw	content	{"x":81,"y":644}
1469817683962: 	draw	content	{"x":81,"y":642}
1469817683974: 	draw	content	{"x":81,"y":636}
1469817683983: 	draw	content	{"x":81,"y":635}
1469817683991: 	draw	content	{"x":80,"y":633}
1469817684000: 	draw	content	{"x":80,"y":631}
1469817684008: 	draw	content	{"x":81,"y":627}
1469817684016: 	draw	content	{"x":81,"y":624}
1469817684024: 	draw	content	{"x":81,"y":620}
1469817684033: 	draw	content	{"x":82,"y":619}
1469817684041: 	draw	content	{"x":82,"y":617}
1469817684051: 	draw	content	{"x":82,"y":614}
1469817684058: 	draw	content	{"x":82,"y":613}
1469817684066: 	draw	content	{"x":82,"y":611}
1469817684074: 	draw	content	{"x":82,"y":608}
1469817684093: 	draw	content	{"x":82,"y":607}
1469817684099: 	draw	content	{"x":82,"y":602}
1469817684110: 	draw	content	{"x":82,"y":600}
1469817684115: 	draw	content	{"x":82,"y":598}
1469817684126: 	draw	content	{"x":83,"y":595}
1469817684133: 	draw	content	{"x":83,"y":594}
1469817684141: 	draw	content	{"x":83,"y":593}
1469817684150: 	draw	content	{"x":82,"y":591}
1469817684158: 	draw	content	{"x":82,"y":589}
1469817684165: 	draw	content	{"x":82,"y":588}
1469817684174: 	draw	content	{"x":82,"y":586}
1469817684183: 	draw	content	{"x":82,"y":585}
1469817684191: 	draw	content	{"x":82,"y":584}
1469817684199: 	draw	content	{"x":82,"y":582}
1469817684208: 	draw	content	{"x":82,"y":581}
1469817684216: 	draw	content	{"x":82,"y":580}
1469817684225: 	draw	content	{"x":82,"y":578}
1469817684233: 	draw	content	{"x":82,"y":577}
1469817684241: 	draw	content	{"x":82,"y":575}
1469817684249: 	draw	content	{"x":82,"y":573}
1469817684258: 	draw	content	{"x":81,"y":572}
1469817684268: 	draw	content	{"x":81,"y":570}
1469817684274: 	draw	content	{"x":81,"y":569}
1469817684283: 	draw	content	{"x":81,"y":567}
1469817684292: 	draw	content	{"x":81,"y":565}
1469817684299: 	draw	content	{"x":81,"y":563}
1469817684308: 	draw	content	{"x":81,"y":561}
1469817684316: 	draw	content	{"x":81,"y":559}
1469817684324: 	draw	content	{"x":81,"y":557}
1469817684333: 	draw	content	{"x":81,"y":556}
1469817684341: 	draw	content	{"x":81,"y":553}
1469817684348: 	draw	content	{"x":81,"y":551}
1469817684358: 	draw	content	{"x":81,"y":548}
1469817684365: 	draw	content	{"x":81,"y":546}
1469817684373: 	draw	content	{"x":81,"y":544}
1469817684383: 	draw	content	{"x":80,"y":541}
1469817684390: 	draw	content	{"x":80,"y":539}
1469817684399: 	draw	content	{"x":80,"y":537}
1469817684408: 	draw	content	{"x":80,"y":535}
1469817684416: 	draw	content	{"x":80,"y":531}
1469817684424: 	draw	content	{"x":80,"y":526}
1469817684433: 	draw	content	{"x":80,"y":525}
1469817684441: 	draw	content	{"x":80,"y":522}
1469817684448: 	draw	content	{"x":81,"y":517}
1469817684458: 	draw	content	{"x":81,"y":515}
1469817684465: 	draw	content	{"x":82,"y":513}
1469817684475: 	draw	content	{"x":82,"y":511}
1469817684483: 	draw	content	{"x":82,"y":508}
1469817684490: 	draw	content	{"x":82,"y":507}
1469817684498: 	draw	content	{"x":82,"y":504}
1469817684508: 	draw	content	{"x":82,"y":500}
1469817684515: 	draw	content	{"x":82,"y":496}
1469817684533: 	draw	content	{"x":82,"y":493}
1469817684540: 	draw	content	{"x":82,"y":489}
1469817684559: 	draw	content	{"x":82,"y":486}
