1469892653674: 	acted on	draw
1469892697063: 	acted on	draw
1469893744283: 	acted on	innerText
1469893744377: 	sub-instrument	start	draw	true
1469893744395: 	activate	draw
1469815402652: 	draw	image-19	{"x":104.5,"y":160.5}
1469815402661: 	draw	image-19	{"x":105.5,"y":162.5}
1469815402681: 	draw	image-19	{"x":107.5,"y":164.5}
1469815402690: 	draw	image-19	{"x":108.5,"y":165.5}
1469815402698: 	draw	image-19	{"x":109.5,"y":165.5}
1469815402706: 	draw	image-19	{"x":109.5,"y":166.5}
1469815402715: 	draw	image-19	{"x":110.5,"y":167.5}
1469815402723: 	draw	image-19	{"x":111.5,"y":168.5}
1469815402741: 	draw	image-19	{"x":112.5,"y":169.5}
1469815402756: 	draw	image-19	{"x":113.5,"y":170.5}
1469815402774: 	draw	image-19	{"x":114.5,"y":170.5}
1469815402781: 	draw	image-19	{"x":115.5,"y":171.5}
1469815402798: 	draw	image-19	{"x":116.5,"y":172.5}
1469815402815: 	draw	image-19	{"x":117.5,"y":172.5}
1469815402823: 	draw	image-19	{"x":117.5,"y":173.5}
1469815402840: 	draw	image-19	{"x":118.5,"y":173.5}
1469815402874: 	draw	image-19	{"x":119.5,"y":173.5}
1469815402881: 	draw	image-19	{"x":119.5,"y":174.5}
1469815402916: 	draw	image-19	{"x":120.5,"y":174.5}
1469815402940: 	draw	image-19	{"x":120.5,"y":175.5}
1469815402958: 	draw	image-19	{"x":121.5,"y":175.5}
1469815403046: 	draw	image-19	{"x":122.5,"y":176.5}
1469815403107: 	draw	image-19	{"x":122.5,"y":177.5}
1469815403171: 	draw	image-19	{"x":123.5,"y":178.5}
1469815403203: 	draw	image-19	{"x":124.5,"y":178.5}
1469815403221: 	draw	image-19	{"x":124.5,"y":179.5}
1469815403262: 	draw	image-19	{"x":125.5,"y":180.5}
1469815403296: 	draw	image-19	{"x":125.5,"y":181.5}
1469815403311: 	draw	image-19	{"x":126.5,"y":181.5}
1469815403328: 	draw	image-19	{"x":126.5,"y":182.5}
1469815403361: 	draw	image-19	{"x":128.5,"y":184.5}
1469815403378: 	draw	image-19	{"x":129.5,"y":185.5}
1469815403395: 	draw	image-19	{"x":129.5,"y":186.5}
1469815403406: 	draw	image-19	{"x":130.5,"y":188.5}
1469815403425: 	draw	image-19	{"x":131.5,"y":190.5}
1469815403440: 	draw	image-19	{"x":131.5,"y":191.5}
1469815403447: 	draw	image-19	{"x":131.5,"y":192.5}
1469815403455: 	draw	image-19	{"x":131.5,"y":193.5}
1469815403464: 	draw	image-19	{"x":131.5,"y":194.5}
1469815403473: 	draw	image-19	{"x":131.5,"y":195.5}
1469815403480: 	draw	image-19	{"x":132.5,"y":196.5}
1469815403490: 	draw	image-19	{"x":132.5,"y":197.5}
1469815403497: 	draw	image-19	{"x":132.5,"y":198.5}
1469815403515: 	draw	image-19	{"x":132.5,"y":199.5}
1469815403523: 	draw	image-19	{"x":132.5,"y":200.5}
1469815403540: 	draw	image-19	{"x":132.5,"y":202.5}
1469815403565: 	draw	image-19	{"x":132.5,"y":204.5}
1469815403581: 	draw	image-19	{"x":132.5,"y":205.5}
1469815403598: 	draw	image-19	{"x":132.5,"y":206.5}
1469815403605: 	draw	image-19	{"x":132.5,"y":207.5}
1469815403614: 	draw	image-19	{"x":132.5,"y":208.5}
1469815403631: 	draw	image-19	{"x":132.5,"y":209.5}
1469815403647: 	draw	image-19	{"x":132.5,"y":210.5}
1469815403664: 	draw	image-19	{"x":132.5,"y":211.5}
1469815403680: 	draw	image-19	{"x":132.5,"y":212.5}
1469815403706: 	draw	image-19	{"x":132.5,"y":213.5}
1469815403730: 	draw	image-19	{"x":132.5,"y":214.5}
1469815403740: 	draw	image-19	{"x":132.5,"y":215.5}
1469815403748: 	draw	image-19	{"x":132.5,"y":216.5}
1469815403781: 	draw	image-19	{"x":132.5,"y":218.5}
1469815403790: 	draw	image-19	{"x":132.5,"y":217.5}
1469815403802: 	draw	image-19	{"x":131.5,"y":218.5}
1469815403822: 	draw	image-19	{"x":131.5,"y":219.5}
1469815403883: 	draw	image-19	{"x":130.5,"y":221.5}
1469815403952: 	draw	image-19	{"x":130.5,"y":222.5}
1469815403995: 	draw	image-19	{"x":130.5,"y":223.5}
1469815404045: 	draw	image-19	{"x":130.5,"y":224.5}
1469815404828: 	draw	image-19	{"x":85.5,"y":104.5}
1469815405131: 	draw	image-19	{"x":89.5,"y":119.5}
1469815405140: 	draw	image-19	{"x":89.5,"y":120.5}
1469815405159: 	draw	image-19	{"x":89.5,"y":121.5}
1469815405185: 	draw	image-19	{"x":89.5,"y":123.5}
1469815405210: 	draw	image-19	{"x":89.5,"y":125.5}
1469815405234: 	draw	image-19	{"x":89.5,"y":127.5}
1469815405257: 	draw	image-19	{"x":90.5,"y":130.5}
1469815405274: 	draw	image-19	{"x":90.5,"y":131.5}
1469815405290: 	draw	image-19	{"x":90.5,"y":133.5}
