1469817816906: 	acted on	sample
1469817819748: 	acted on	menu
1469817820632: 	acted on	innerText
1469817820731: 	sub-instrument	start	shapes	true
1469817820732: 	activate	shapes
1469817821424: 	acted on	circle
1469817821538: 	sub-instrument	circle	shapes	true
1469817822976: 	shape started	{"x":355,"y":449}
1469817822979: 	shape continued	10	circle
1469817823490: 	shape continued	15	circle
1469817823506: 	shape continued	15	circle
1469817823516: 	shape continued	16	circle
1469817823540: 	shape continued	17	circle
1469817823548: 	shape continued	17	circle
1469817823573: 	shape continued	18	circle
1469817823583: 	shape continued	18	circle
1469817823590: 	shape continued	19	circle
1469817823614: 	shape continued	20	circle
1469817823622: 	shape continued	20	circle
1469817823632: 	shape continued	21	circle
1469817823647: 	shape continued	21	circle
1469817823665: 	shape continued	22	circle
1469817823672: 	shape continued	22	circle
1469817823689: 	shape continued	23	circle
1469817823715: 	shape continued	24	circle
1469817823731: 	shape continued	25	circle
1469817823748: 	shape continued	26	circle
1469817823773: 	shape continued	26	circle
1469817823781: 	shape continued	27	circle
1469817823789: 	shape continued	27	circle
1469817823816: 	shape continued	28	circle
1469817823822: 	shape continued	28	circle
1469817823840: 	shape continued	28	circle
1469817823874: 	shape continued	29	circle
1469817823899: 	shape continued	29	circle
1469817823940: 	shape continued	30	circle
1469817824015: 	shape continued	30	circle
1469817824048: 	shape continued	31	circle
1469817824057: 	shape continued	31	circle
1469817824123: 	shape continued	32	circle
1469817824190: 	shape continued	32	circle
1469817824214: 	shape continued	33	circle
1469817824239: 	shape continued	33	circle
1469817824256: 	shape continued	34	circle
1469817824280: 	shape continued	34	circle
1469817824306: 	shape continued	35	circle
1469817824323: 	shape continued	36	circle
1469817824340: 	shape continued	36	circle
1469817824347: 	shape continued	37	circle
1469817824372: 	shape continued	37	circle
1469817824398: 	shape continued	37	circle
1469817824423: 	shape continued	37	circle
1469817824430: 	shape continued	37	circle
1469817824447: 	shape continued	38	circle
1469817824473: 	shape continued	38	circle
1469817824481: 	shape continued	38	circle
1469817824505: 	shape continued	38	circle
1469817824514: 	shape continued	39	circle
1469817824522: 	shape continued	39	circle
1469817824541: 	shape continued	39	circle
1469817824556: 	shape continued	40	circle
1469817824563: 	shape continued	40	circle
1469817824575: 	shape continued	41	circle
1469817824580: 	shape continued	41	circle
1469817824597: 	shape continued	42	circle
1469817824622: 	shape continued	43	circle
1469817824639: 	shape continued	43	circle
1469817824647: 	shape continued	44	circle
1469817824655: 	shape continued	44	circle
1469817824672: 	shape continued	45	circle
1469817824698: 	shape continued	46	circle
1469817824714: 	shape continued	47	circle
1469817824740: 	shape continued	47	circle
1469817824755: 	shape continued	48	circle
1469817824773: 	shape continued	48	circle
1469817824789: 	shape continued	49	circle
1469817824806: 	shape continued	49	circle
1469817824822: 	shape continued	50	circle
1469817824839: 	shape continued	50	circle
1469817824864: 	shape continued	50	circle
1469817824873: 	shape continued	51	circle
1469817824880: 	shape continued	51	circle
1469817824906: 	shape continued	51	circle
1469817824922: 	shape continued	52	circle
1469817824947: 	shape continued	52	circle
1469817824955: 	shape continued	52	circle
1469817824972: 	shape continued	53	circle
1469817824989: 	shape continued	53	circle
