1469893666248: 	acted on	menu
1469893667269: 	acted on	menu
1469893868045: 	acted on	sample
1469893876999: 	acted on	sample
1469893881866: 	acted on	innerText
1469893881987: 	sub-instrument	start	shapes	true
1469893882000: 	activate	shapes
1469893884729: 	acted on	innerText
1469893884866: 	sub-instrument	stop	shapes	false
1469893884874: 	deactivate	shapes
1469893892023: 	acted on	innerText
1469893892146: 	sub-instrument	start	shapes	true
1469893892159: 	activate	shapes
1469893893118: 	acted on	rectangle
1469893893259: 	sub-instrument	rectangle	shapes	true
1469815560808: 	shape started	{"x":286,"y":546}
1469815560811: 	shape continued	10	rectangle
1469815561021: 	shape continued	13	rectangle
1469815561029: 	shape continued	14	rectangle
1469815561038: 	shape continued	15	rectangle
1469815561045: 	shape continued	16	rectangle
1469815561055: 	shape continued	17	rectangle
1469815561063: 	shape continued	18	rectangle
1469815561070: 	shape continued	19	rectangle
1469815561079: 	shape continued	20	rectangle
1469815561088: 	shape continued	21	rectangle
1469815561096: 	shape continued	22	rectangle
1469815561104: 	shape continued	23	rectangle
1469815561124: 	shape continued	24	rectangle
1469815561129: 	shape continued	25	rectangle
1469815561138: 	shape continued	26	rectangle
1469815561146: 	shape continued	27	rectangle
1469815561153: 	shape continued	28	rectangle
1469815561163: 	shape continued	28	rectangle
1469815561171: 	shape continued	29	rectangle
1469815561180: 	shape continued	30	rectangle
1469815561205: 	shape continued	31	rectangle
1469815561213: 	shape continued	32	rectangle
1469815561229: 	shape continued	33	rectangle
1469815561246: 	shape continued	34	rectangle
1469815561264: 	shape continued	35	rectangle
1469815561270: 	shape continued	36	rectangle
1469815561288: 	shape continued	38	rectangle
1469815561295: 	shape continued	38	rectangle
1469815561304: 	shape continued	39	rectangle
1469815561313: 	shape continued	40	rectangle
1469815561321: 	shape continued	41	rectangle
1469815561329: 	shape continued	42	rectangle
1469815561338: 	shape continued	43	rectangle
1469815561346: 	shape continued	44	rectangle
1469815561354: 	shape continued	45	rectangle
1469815561363: 	shape continued	46	rectangle
1469815561371: 	shape continued	47	rectangle
1469815561379: 	shape continued	48	rectangle
1469815561388: 	shape continued	50	rectangle
1469815561396: 	shape continued	51	rectangle
1469815561404: 	shape continued	52	rectangle
1469815561414: 	shape continued	53	rectangle
1469815561421: 	shape continued	54	rectangle
1469815561428: 	shape continued	55	rectangle
1469815561438: 	shape continued	56	rectangle
1469815561446: 	shape continued	57	rectangle
1469815561464: 	shape continued	58	rectangle
1469815561471: 	shape continued	59	rectangle
1469815561478: 	shape continued	60	rectangle
1469815561497: 	shape continued	61	rectangle
1469815561504: 	shape continued	61	rectangle
1469815561514: 	shape continued	62	rectangle
1469815561529: 	shape continued	63	rectangle
1469815561547: 	shape continued	64	rectangle
1469815561554: 	shape continued	65	rectangle
1469815561563: 	shape continued	65	rectangle
1469815561571: 	shape continued	66	rectangle
1469815561579: 	shape continued	67	rectangle
1469815561588: 	shape continued	67	rectangle
1469815561596: 	shape continued	68	rectangle
1469815561604: 	shape continued	69	rectangle
1469815561613: 	shape continued	70	rectangle
1469815561621: 	shape continued	70	rectangle
1469815561628: 	shape continued	71	rectangle
1469815561657: 	shape continued	72	rectangle
1469815561683: 	shape continued	73	rectangle
