1469817381682: 	acted on	innerText
1469817381749: 	sub-instrument	start	shapes	true
1469817381750: 	activate	shapes
1469817382299: 	acted on	rectangle
1469817382348: 	sub-instrument	rectangle	shapes	true
1469817383367: 	shape started	{"x":946,"y":347}
1469817383370: 	shape continued	10	rectangle
1469817383457: 	shape continued	10	rectangle
1469817383464: 	shape continued	10	rectangle
1469817383472: 	shape continued	10	rectangle
1469817383481: 	shape continued	10	rectangle
1469817383489: 	shape continued	10	rectangle
1469817383496: 	shape continued	10	rectangle
1469817383506: 	shape continued	12	rectangle
1469817383514: 	shape continued	15	rectangle
1469817383522: 	shape continued	17	rectangle
1469817383531: 	shape continued	19	rectangle
1469817383539: 	shape continued	21	rectangle
1469817383547: 	shape continued	23	rectangle
1469817383556: 	shape continued	26	rectangle
1469817383564: 	shape continued	28	rectangle
1469817383573: 	shape continued	31	rectangle
1469817383581: 	shape continued	33	rectangle
1469817383589: 	shape continued	36	rectangle
1469817383597: 	shape continued	38	rectangle
1469817383605: 	shape continued	41	rectangle
1469817383614: 	shape continued	45	rectangle
1469817383622: 	shape continued	48	rectangle
1469817383631: 	shape continued	52	rectangle
1469817383639: 	shape continued	54	rectangle
1469817383647: 	shape continued	56	rectangle
1469817383656: 	shape continued	59	rectangle
1469817383664: 	shape continued	62	rectangle
1469817383671: 	shape continued	64	rectangle
1469817383681: 	shape continued	68	rectangle
1469817383689: 	shape continued	70	rectangle
1469817383696: 	shape continued	73	rectangle
1469817383705: 	shape continued	76	rectangle
1469817383715: 	shape continued	79	rectangle
1469817383722: 	shape continued	82	rectangle
1469817383730: 	shape continued	84	rectangle
1469817383739: 	shape continued	87	rectangle
1469817383746: 	shape continued	90	rectangle
1469817383756: 	shape continued	92	rectangle
1469817383764: 	shape continued	94	rectangle
1469817383772: 	shape continued	96	rectangle
1469817383781: 	shape continued	99	rectangle
1469817383789: 	shape continued	101	rectangle
1469817383797: 	shape continued	104	rectangle
1469817383806: 	shape continued	107	rectangle
1469817383813: 	shape continued	110	rectangle
1469817383821: 	shape continued	113	rectangle
1469817383831: 	shape continued	116	rectangle
1469817383839: 	shape continued	118	rectangle
1469817383846: 	shape continued	121	rectangle
1469817383856: 	shape continued	123	rectangle
